"   ","GPMS_ID","REGION","COUNTRY"
"611","001557","EU","EU"
"612","000124","US","US"
"613","000569","US","US"
"614","303778","CA","CA"
"615","001202","US","US"
"616","004383","US","US"
"617","000202","US","US"
"618","004883","US","US"
"619","000778","US","US"
"620","001484","US","US"
"621","100392","CA","CA"
"622","300512","EU","EU"
"623","000129","US","US"
"624","100532","CA","CA"
"625","003734","US","US"
"626","002596","EU","EU"
"627","001746","EU","EU"
"628","000420","US","US"
"629","000676","US","US"
"630","001242","EU","EU"
"631","300899","EU","EU"
"632","303705","US","US"
"633","000741","US","US"
"634","100211","CA","CA"
"635","000247","US","US"
"636","300786","EU","EU"
"637","002925","US","US"
"638","004685","US","US"
"639","100336","CA","CA"
"640","001552","US","US"
"641","300773","EU","EU"
"642","002279","EU","EU"
"643","001640","EU","EU"
"644","000709","US","US"
"645","000941","US","US"
"646","300503","EU","EU"
"647","001514","EU","EU"
"648","003367","US","US"
"649","000150","US","US"
"650","000521","US","US"
"651","000416","US","US"
"652","000536","US","US"
"653","001192","US","US"
"654","001180","US","US"
"655","100270","CA","CA"
"656","000321","US","US"
"657","000208","US","US"
"658","001573","EU","EU"
"659","300452","EU","EU"
"660","001957","US","US"
"661","100431","CA","CA"
"662","001913","US","US"
"663","001442","EU","EU"
"664","000363","US","US"
"665","003837","US","US"
"666","300209","EU","EU"
"667","001768","CA","CA"
"668","001807","US","US"
"669","002993","US","US"
"670","000185","US","US"
"671","000307","US","US"
"672","300140","EU","EU"
"673","000586","US","US"
"674","000235","US","US"
"675","300158","EU","EU"
"676","000632","US","US"
"677","300125","EU","EU"
"678","003827","US","US"
"679","001200","EU","EU"
"680","100120","CA","CA"
"681","003901","US","US"
"682","100490","CA","CA"
"683","001572","US","US"
"684","004862","US","US"
"685","000285","US","US"
"686","304487","US","US"
"687","000380","US","US"
"688","300141","EU","EU"
"689","002001","US","US"
"690","100107","CA","CA"
"691","001907","US","US"
"692","000559","US","US"
"693","000761","US","US"
"694","300930","US","US"
"695","000231","US","US"
"696","300275","EU","EU"
"697","001528","US","US"
"698","300245","EU","EU"
"699","300344","EU","EU"
"700","000411","US","US"
"701","001146","US","US"
"702","001779","EU","EU"
"703","000508","US","US"
"704","000322","US","US"
"705","100327","CA","CA"
"706","000560","US","US"
"707","100442","CA","CA"
"708","000259","US","US"
"709","000105","US","US"
"710","000101","US","US"
"711","001844","US","US"
"712","000657","US","US"
"713","001843","US","US"
